# Stable internal IDs are NOT Polymarket codes. id|category|sport|ranking scope|reference URL
soccer|Football|Association football / soccer|FIFA national-team rankings; domestic clubs use their league table, separately by season and gender|https://inside.fifa.com/fifa-world-ranking
futsal|Football|Futsal|FIFA men's and women's futsal rankings, separately|https://inside.fifa.com/fifa-rankings/futsal-world-ranking
beach-soccer|Football|Beach soccer|Beach Soccer Worldwide national-team and club rankings, separately|https://beachsoccer.com/rankings
american-football|Football|American football|NFL conference standings; college football uses its own standings/polls|https://www.nfl.com/standings/
canadian-football|Football|Canadian football|CFL season/division standings|https://www.cfl.ca/standings/
arena-football|Football|Arena football|League-specific season standings; no combined ranking across arena leagues|https://goifl.com/standings.aspx
australian-rules|Football|Australian rules football|AFL and AFLW ladders, separately by competition and season|https://www.afl.com.au/ladder
gaelic-football|Football|Gaelic football|GAA competition/division league tables; not a universal county ranking|https://www.gaa.ie/fixtures-results
rugby-union|Football|Rugby union|World Rugby men's and women's national-team rankings, separately|https://www.world.rugby/rankings
rugby-league|Football|Rugby league|IRL international rankings; clubs use their competition table|https://www.intrl.sport/world-rankings
rugby-sevens|Football|Rugby sevens|SVNS season standings by gender; do not substitute rugby union rankings|https://www.svns.com/en/standings
flag-football|Football|Flag football|IFAF discipline/gender-specific rankings or tournament standings|https://www.americanfootball.sport/
test-cricket|Cricket|Test cricket|ICC men's Test team rankings; no substitution for formats without an ICC team list|https://www.icc-cricket.com/rankings/team-rankings/mens/test
odi-cricket|Cricket|One-Day cricket / ODI|ICC men's and women's ODI team rankings, separately|https://www.icc-cricket.com/rankings/team-rankings/mens/odi
t20-cricket|Cricket|T20 cricket|ICC T20I team rankings for internationals; franchise teams use tournament tables|https://www.icc-cricket.com/rankings/team-rankings/mens/t20i
t10-cricket|Cricket|T10 cricket|Tournament/season points table; no universal T10 team ranking|https://ttensports.com/
the-hundred|Cricket|The Hundred|Men's and women's competition tables, separately by season|https://www.thehundred.com/standings
domestic-cricket|Cricket|Domestic first-class/List A cricket|Competition/division points table; first-class and List A remain separate|https://www.ecb.co.uk/matches/county-championship/tables
basketball|Basketball|Basketball|NBA/WNBA standings and FIBA national-team rankings are separate scopes|https://www.fiba.basketball/en/ranking
basketball-3x3|Basketball|3×3 basketball|FIBA 3x3 federation, team and individual rankings, separately|https://fiba3x3.com/en/rankings.html
baseball|Baseball|Baseball|MLB league/division standings; WBSC national-team rankings are separate|https://www.mlb.com/standings
softball|Baseball|Softball|WBSC men's and women's softball national-team rankings, separately|https://www.wbsc.org/en/rankings
baseball5|Baseball|Baseball5|WBSC Baseball5 mixed national-team ranking|https://www.wbsc.org/en/rankings
ice-hockey|Hockey|Ice hockey|NHL/KHL league tables and IIHF national-team rankings are separate scopes|https://www.iihf.com/en/worldranking
field-hockey|Hockey|Field hockey|FIH outdoor men's and women's national-team rankings, separately|https://www.fih.hockey/outdoor-hockey-rankings
indoor-hockey|Hockey|Indoor hockey|FIH indoor men's and women's national-team rankings, separately|https://www.fih.hockey/indoor-hockey-rankings
roller-hockey|Hockey|Roller hockey|Discipline-specific championship/league standings; rink and inline hockey differ|https://www.worldskate.org/
bandy|Hockey|Bandy|FIB championship standings by division/gender; no single verified live ranking feed|https://www.worldbandy.com/
indoor-volleyball|Volleyball|Indoor volleyball|FIVB men's and women's national-team world rankings, separately|https://www.fivb.com/volleyball/rankings/
beach-volleyball|Volleyball|Beach volleyball|FIVB pair world rankings by gender; preserve the exact pair|https://www.fivb.com/beach-volleyball/rankings/
snow-volleyball|Volleyball|Snow volleyball|CEV/FIVB tour standings by gender and season|https://www.cev.eu/snow/
indoor-handball|Handball|Indoor handball|IHF championship or domestic league standings; historical federation rankings are not current team strength|https://www.ihf.info/competitions
beach-handball|Handball|Beach handball|IHF beach championship/tour standings by gender; not indoor handball rankings|https://www.ihf.info/competitions
water-polo|Water sports|Water polo|World Aquatics competition standings by gender; league clubs require league tables|https://www.worldaquatics.com/water-polo
canoe-polo|Water sports|Canoe polo|ICF world rankings by gender and age; separate senior and U21 lists|https://www.canoeicf.com/disciplines/canoe-polo/world-rankings
field-lacrosse|Lacrosse|Field lacrosse|World Lacrosse championship rankings by gender and format|https://worldlacrosse.sport/
box-lacrosse|Lacrosse|Box lacrosse|World Lacrosse box championship or NLL league standings|https://www.nll.com/standings/
sixes-lacrosse|Lacrosse|Sixes lacrosse|World Lacrosse Sixes tournament standings; do not use field/box positions|https://worldlacrosse.sport/sixes/
kabaddi|South Asian|Kabaddi|Pro Kabaddi season standings or national-team tournament results|https://www.prokabaddi.com/standings
kho-kho|South Asian|Kho-kho|Competition-specific points tables; no verified universal team ranking|https://www.ultimatekhokho.com/
field-archery-teams|South Asian|Field archery team matches|World Archery field competition results by team/bow class; not target individual rankings|https://www.worldarchery.sport/competition
tennis-singles|Racket|Tennis singles|ATP and WTA singles rankings, separately; juniors use ITF junior rankings|https://www.atptour.com/en/rankings/singles
tennis-doubles|Racket|Tennis doubles|ATP/WTA individual doubles rankings differ from pair/team race rankings|https://www.atptour.com/en/rankings/doubles
badminton-singles|Racket|Badminton singles|BWF men's and women's singles world rankings, separately|https://bwfbadminton.com/rankings/
badminton-doubles|Racket|Badminton doubles|BWF men's, women's and mixed doubles pair rankings, separately|https://bwfbadminton.com/rankings/
table-tennis-singles|Racket|Table tennis singles|ITTF/WTT men's and women's singles rankings, separately|https://www.ittf.com/rankings/
table-tennis-doubles|Racket|Table tennis doubles|ITTF/WTT doubles and mixed doubles pair rankings, separately|https://www.ittf.com/rankings/
squash|Racket|Squash|PSA men's and women's world rankings, separately|https://www.psasquashtour.com/rankings/
padel|Racket|Padel|FIP men's and women's player rankings; player rank is not a pair rank|https://www.padelfip.com/fip-rankings/
pickleball-singles|Racket|Pickleball singles|PPA/APP singles tour rankings or DUPR ratings, separately by gender/provider|https://www.ppatour.com/player-rankings/
pickleball-doubles|Racket|Pickleball doubles|PPA/APP gender/mixed doubles rankings; retain individual-versus-pair scope|https://www.ppatour.com/player-rankings/
